invoice_id,company_code,customer_id,customer_group,region,industry,invoice_amount,currency,payment_terms_days,days_since_invoice,dispute_flag,previous_late_payments,open_items_count,credit_score,dunning_level,has_purchase_order,invoice_channel,month,target_paid_late
INV0000001,2000,CUST0112,Enterprise,EMEA,Manufacturing,5667.93,EUR,90,56,1,1,5,685,0,0,Email,12,1
INV0000002,1100,CUST0150,Mid-Market,Americas,Retail,1185.5,USD,45,36,0,2,3,699,1,0,Portal,4,0
INV0000003,3000,CUST0116,SMB,DACH,Healthcare,2764.87,EUR,90,43,0,2,6,776,1,1,Email,1,0
INV0000004,2000,CUST0107,Mid-Market,EMEA,Manufacturing,2164.62,GBP,30,105,0,3,6,466,1,0,EDI,8,0
INV0000005,1000,CUST0085,Enterprise,EMEA,Utilities,1502.26,EUR,30,37,0,0,3,709,1,1,EDI,1,0
INV0000006,3000,CUST0045,Mid-Market,Americas,Manufacturing,4390.57,USD,60,79,0,0,5,704,0,1,Portal,4,0
INV0000007,2000,CUST0051,Mid-Market,APJ,Healthcare,285.31,EUR,30,15,0,5,5,742,0,0,Portal,7,0
INV0000008,2000,CUST0135,Enterprise,Americas,Healthcare,3037.34,EUR,30,42,0,3,4,545,0,1,EDI,12,0
INV0000009,1000,CUST0013,SMB,Americas,Utilities,3847.56,EUR,60,113,0,5,2,637,1,1,Portal,9,0
INV0000010,1100,CUST0016,Mid-Market,EMEA,Healthcare,1015.12,USD,45,65,0,6,7,610,3,1,Email,8,1
INV0000011,1000,CUST0072,SMB,Americas,Technology,20720.52,EUR,30,99,0,1,6,583,2,0,Email,7,1
INV0000012,3000,CUST0140,Mid-Market,EMEA,Healthcare,2266.11,USD,30,32,0,1,4,850,0,1,EDI,5,0
INV0000013,2000,CUST0119,SMB,DACH,Retail,3296.58,USD,30,92,0,1,2,638,3,1,EDI,10,1
INV0000014,2000,CUST0107,Enterprise,Americas,Technology,2271.44,CHF,30,119,0,0,7,750,2,1,EDI,1,0
INV0000015,1100,CUST0097,Enterprise,Americas,Utilities,3882.97,USD,30,112,0,2,4,733,0,1,Paper,2,0
INV0000016,1000,CUST0020,Mid-Market,EMEA,Manufacturing,16706.47,USD,30,53,1,1,3,572,0,1,EDI,2,1
INV0000017,1100,CUST0060,Mid-Market,APJ,Retail,56764.51,GBP,60,82,0,5,3,641,3,1,EDI,8,1
INV0000018,1000,CUST0015,Mid-Market,Americas,Manufacturing,9255.02,EUR,30,108,0,1,5,685,0,1,Portal,4,0
INV0000019,2000,CUST0137,SMB,EMEA,Technology,13258.49,USD,30,98,0,3,3,710,3,1,EDI,1,0
INV0000020,2000,CUST0136,Enterprise,DACH,Healthcare,25648.72,EUR,45,118,0,2,4,705,0,0,Email,2,0
INV0000021,2000,CUST0047,Enterprise,DACH,Manufacturing,5493.47,USD,30,4,0,2,4,811,0,1,EDI,8,0
INV0000022,1000,CUST0053,Mid-Market,EMEA,Technology,21999.25,EUR,30,65,0,3,1,748,0,1,Portal,7,0
INV0000023,3000,CUST0058,SMB,EMEA,Technology,9720.78,EUR,30,95,0,2,4,729,0,1,EDI,7,0
INV0000024,3000,CUST0161,SMB,DACH,Healthcare,4920.6,USD,45,88,0,0,6,753,1,0,Portal,9,1
INV0000025,2000,CUST0088,SMB,DACH,Retail,6111.08,EUR,30,19,0,1,2,781,0,1,EDI,7,0
INV0000026,1000,CUST0138,Mid-Market,DACH,Manufacturing,624.85,EUR,30,69,1,1,7,633,0,1,EDI,11,0
INV0000027,1100,CUST0081,SMB,Americas,Manufacturing,5748.68,EUR,45,20,0,5,3,562,2,1,Email,7,1
INV0000028,1000,CUST0126,SMB,Americas,Technology,836.36,GBP,60,11,0,3,8,635,0,1,Email,8,0
INV0000029,1000,CUST0096,Enterprise,EMEA,Technology,767.75,EUR,45,14,0,1,5,577,0,1,Portal,4,0
INV0000030,2000,CUST0051,Mid-Market,DACH,Utilities,5179.8,EUR,60,115,0,2,9,606,2,1,Portal,7,1
INV0000031,2000,CUST0158,SMB,DACH,Technology,1313.19,CHF,45,33,0,3,6,687,2,0,Email,3,0
INV0000032,3000,CUST0128,Mid-Market,DACH,Manufacturing,4198.7,GBP,30,55,0,1,4,638,1,0,Email,3,0
INV0000033,1000,CUST0139,SMB,EMEA,Healthcare,4892.0,EUR,30,31,0,2,4,729,0,0,Portal,12,1
INV0000034,1000,CUST0171,Mid-Market,DACH,Manufacturing,5126.62,EUR,14,108,0,3,8,703,0,1,Portal,11,0
INV0000035,1100,CUST0045,Mid-Market,EMEA,Retail,1637.09,EUR,30,107,0,2,6,707,1,1,Email,5,1
INV0000036,1000,CUST0017,Enterprise,APJ,Healthcare,10868.42,CHF,30,79,0,2,6,585,1,1,Portal,4,1
INV0000037,1000,CUST0105,SMB,EMEA,Retail,3851.83,EUR,30,100,0,2,3,614,1,0,Portal,8,0
INV0000038,1100,CUST0059,SMB,Americas,Technology,6721.92,EUR,45,13,0,3,5,537,0,1,EDI,9,0
INV0000039,1000,CUST0079,Enterprise,DACH,Technology,1204.4,EUR,45,120,0,2,5,723,1,1,Email,1,1
INV0000040,2000,CUST0043,Mid-Market,DACH,Utilities,3507.84,USD,30,51,0,1,2,824,1,1,Portal,9,0
INV0000041,1100,CUST0072,Enterprise,APJ,Retail,13388.6,EUR,30,49,0,0,6,693,2,1,Portal,1,0
INV0000042,2000,CUST0071,Enterprise,EMEA,Utilities,11715.72,USD,30,24,0,3,6,700,0,1,Portal,1,0
INV0000043,2000,CUST0064,Public Sector,Americas,Healthcare,1831.41,EUR,30,106,0,3,4,640,0,0,Portal,6,1
INV0000044,1000,CUST0134,Mid-Market,APJ,Healthcare,2385.5,USD,30,21,0,2,7,664,0,1,Portal,8,0
INV0000045,2000,CUST0107,Mid-Market,EMEA,Manufacturing,1497.99,GBP,30,103,0,3,5,776,1,1,Portal,5,1
INV0000046,2000,CUST0086,Mid-Market,DACH,Manufacturing,2123.38,EUR,30,86,0,2,7,687,2,1,EDI,12,0
INV0000047,1100,CUST0021,Public Sector,EMEA,Healthcare,973.58,EUR,90,93,0,1,5,728,0,1,Email,5,0
INV0000048,1000,CUST0103,Mid-Market,DACH,Technology,3658.89,EUR,30,4,0,4,3,778,0,1,EDI,9,0
INV0000049,2000,CUST0032,SMB,DACH,Retail,8223.86,USD,45,89,0,0,3,763,1,1,Paper,7,0
INV0000050,1000,CUST0057,Mid-Market,DACH,Utilities,1855.1,EUR,14,116,0,2,9,682,0,1,Paper,6,1
INV0000051,1000,CUST0075,Enterprise,APJ,Retail,3846.29,USD,30,48,0,2,8,688,1,1,Email,4,0
